YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
1990,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),218800036
1991,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),203669399
1992,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),172240963
1993,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),192461848
1994,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),183617804
1995,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),132577967
1996,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),144626263
1997,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),159715287
1998,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),222640297
1999,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),207871474
2000,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),195227538
2001,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),216672102
2002,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),168596879
2003,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),206653334
2004,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),203494346.9
2005,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),206785363.9
2006,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),110633916.2
2007,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),112614638
2008,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),80932099
2009,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),67668276
2010,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),65070556
2011,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),52386548
2012,US-Total,Total Electric Power Industry,Petroleum (Barrels),40977173
2013,US-Total,Total Electric Power Industry,Petroleum (Barrels),47491792
2014,US-Total,Total Electric Power Industry,Petroleum (Barrels),53593018
2015,US-Total,Total Electric Power Industry,Petroleum (Barrels),49145370
2016,US-Total,Total Electric Power Industry,Petroleum (Barrels),44366541